results_set,llm_name,method_name,run_folder,case_id,syntax_valid,structural_valid,state_f1_exact,transition_f1_exact,overall_f1_exact,state_f1_relaxed,transition_f1_relaxed,overall_f1_relaxed
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_01_healthcare_portal,True,False,0.10256410256410256,0.0,0.05128205128205128,0.10256410256410256,0.0,0.05128205128205128
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_02_inventory,True,False,0.0,0.0,0.0,0.0,0.0,0.0
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_12_business_process_outsourcing_bpo_management_system_2,True,False,0.0,0.0,0.0,0.0,0.0,0.0
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_15_e_ticketing_for_bus,True,False,0.0,0.0,0.0,0.0,0.0,0.0
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_16_weather_monitoring_system,True,False,0.0,0.0,0.0,0.0,0.0,0.0
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_18_digidoclocker,True,False,0.11764705882352941,0.0,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_28_ott_based_system_mini_reel,True,False,0.0,0.0,0.0,0.0,0.0,0.0
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_32_e_visa_processing_and_follow_up_system,True,False,0.0,0.0,0.0,0.0,0.0,0.0
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_33_farm_management_system,True,False,0.0,0.0,0.0,0.2,0.0,0.1
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_34_green_rides,True,False,0.0,0.0,0.0,0.125,0.0,0.0625
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_37_online_quiz_system,True,False,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111
plantuml_pipeline_run2,Qwen_2.5_7B,rag,open_source__qwen25_7b_instruct__rag,case_39_website_development,True,False,0.0,0.0,0.0,0.14814814814814817,0.0,0.07407407407407408
